H11612;𝛁;1D6C1
H11621;▱;1D6C1
H11622;▭;1D6C1
H11623;▭;1D6C1
H11624;∟;1D6C1
H11626;⋁;1D6C1
H11627;⊢;1D6C1
H11628;⊣;1D6C1
H11632;∅;1D6C1
H11633;𝛁;1D6C1
H11634;𝛛;1D6DB
H11635;⁗;1D6DB
H11711;⋱;1D6DB
H11921;𝔸;1D538
H11922;𝔹;1D539
H11923;ℂ;1D539
H11924;𝔻;1D53B
H11925;𝔼;1D53C
H11926;𝔽;1D53D
H11927;𝔾;1D53E
H11928;ℍ;1D53E
H11929;𝕀;1D540
H11930;𝕁;1D541
H11931;𝕂;1D542
H11932;𝕃;1D543
H11933;𝕄;1D544
H11935;𝕆;1D546
H11936;ℙ;1D546
H11937;ℚ;1D546
H11938;ℝ;1D546
H11939;𝕊;1D54A
H11940;𝕋;1D54B
H11941;𝕌;1D54C
H11942;𝕍;1D54D
H11943;𝕎;1D54E
H11944;𝕏;1D54F
H11945;𝕐;1D550
H11946;ℤ;1D550
H14135;℘;1D550
H14136;ℰ;1D550
H17003;◇;1D550
H17004;◆;1D550
H17005;△;1D550
H17006;▽;1D550
H17007;▷;1D550
H17008;◁;1D550
H17009;▲;1D550
H17010;▼;1D550
H17011;◀;1D550
H17012;▶;1D550
H17018;⊙;1D550
H17033;●;1D550
H17034;○;1D550
H17035;◐;1D550
H17038;◑;1D550
H17040;▭;1D550
H17041;◧;1D550
H17042;◨;1D550
H17043;◩;1D550
H17044;◪;1D550
H17045;◭;1D550
H17046;◮;1D550
H17047;◬;1D550
H17053;⊜;1D550
H17054;⊝;1D550
H17055;⊗;1D550
H17056;⊜;1D550
H17188;∇;1D550
H20001;⊝;1D550
H20002;⊗;1D550
H20004;⦶;1D550
H20041;◫;1D550
H20661;⊆;1D550
H20662;⊇;1D550
H20668;∪;1D550
H20669;∩;1D550
H20670;⪽;1D550
H20671;⪾;1D550
H20672;⫇;1D550
H20673;⫈;1D550
H20676;⋐;1D550
H20677;⋑;1D550
H20678;∈;1D550
