date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1949-05-26 00:00:00,Switzerland,Wales,4,0,Friendly,Berne,Switzerland,False
1949-06-02 00:00:00,Sweden,Republic of Ireland,3,1,FIFA World Cup qualification,Solna,Sweden,False
1949-06-04 00:00:00,France,Switzerland,4,2,Friendly,Colombes,France,False
1949-06-12 00:00:00,Denmark,Netherlands,1,2,Friendly,Copenhagen,Denmark,False
1949-06-12 00:00:00,Hungary,Italy,1,1,International Cup,Budapest,Hungary,False
1949-06-12 00:00:00,Republic of Ireland,Spain,1,4,Friendly,Dublin,Republic of Ireland,False
1949-06-16 00:00:00,Finland,Netherlands,1,4,Friendly,Helsinki,Finland,False
1949-06-16 00:00:00,Madagascar,Mauritius,1,3,Friendly,Saint-Pierre,Réunion,True
1949-06-19 00:00:00,France,Spain,1,5,Friendly,Colombes,France,False
1949-06-19 00:00:00,Norway,Yugoslavia,1,3,Friendly,Oslo,Norway,False
1949-06-19 00:00:00,Poland,Denmark,1,2,Friendly,Warsaw,Poland,False
1949-06-19 00:00:00,Sweden,Hungary,2,2,Friendly,Solna,Sweden,False
1949-06-19 00:00:00,United States,Scotland,0,4,Friendly,New York,United States,False
1949-06-26 00:00:00,Switzerland,Luxembourg,5,2,FIFA World Cup qualification,Zürich,Switzerland,False
1949-07-01 00:00:00,Martinique,Trinidad and Tobago,2,0,Friendly,Fort-de-France,Martinique,False
1949-07-08 00:00:00,Finland,Norway,1,1,Nordic Championship,Helsinki,Finland,False
1949-07-10 00:00:00,Hungary,Poland,8,2,Friendly,Debrecen,Hungary,False
1949-07-30 00:00:00,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False
1949-07-30 00:00:00,Israel,Cyprus,3,1,Friendly,Tel Aviv,Israel,False
1949-08-03 00:00:00,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,False
1949-08-04 00:00:00,El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False
1949-08-07 00:00:00,Denmark,Iceland,5,1,Friendly,Aarhus,Denmark,False
1949-08-14 00:00:00,Suriname,French Guiana,5,0,Friendly,Paramaribo,Suriname,False
1949-08-19 00:00:00,Suriname,French Guiana,2,1,Friendly,Paramaribo,Suriname,False
1949-08-21 00:00:00,Yugoslavia,Israel,6,0,FIFA World Cup qualification,Belgrade,Yugoslavia,False
1949-09-04 00:00:00,Czechoslovakia,Bulgaria,1,3,Friendly,Prague,Czechoslovakia,False
1949-09-04 00:00:00,Mexico,United States,6,0,FIFA World Cup qualification,Mexico City,Mexico,False
1949-09-08 00:00:00,Republic of Ireland,Finland,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1949-09-11 00:00:00,Denmark,Finland,0,2,Nordic Championship,Copenhagen,Denmark,False
1949-09-11 00:00:00,Mexico,Cuba,2,0,FIFA World Cup qualification,Mexico City,Mexico,False
1949-09-11 00:00:00,Norway,Denmark,0,2,Nordic Championship,Oslo,Norway,False
1949-09-14 00:00:00,Cuba,United States,1,1,FIFA World Cup qualification,Mexico City,Mexico,True
